g,name1,name2,correct_idx,selected_idx
g10,/Users/David/NatCo-Project/data/turing_test_data/human_g10/88.png,/Users/David/NatCo-Project/data/turing_test_data/computer_g10/7.png,0,0
g10,/Users/David/NatCo-Project/data/turing_test_data/human_g10/1.png,/Users/David/NatCo-Project/data/turing_test_data/computer_g10/68.png,0,0
g10,/Users/David/NatCo-Project/data/turing_test_data/computer_g10/27.png,/Users/David/NatCo-Project/data/turing_test_data/human_g10/84.png,1,1
g10,/Users/David/NatCo-Project/data/turing_test_data/human_g10/54.png,/Users/David/NatCo-Project/data/turing_test_data/computer_g10/71.png,0,0
g1,/Users/David/NatCo-Project/data/turing_test_data/computer_g1/36.png,/Users/David/NatCo-Project/data/turing_test_data/human_g10/43.png,1,1
g10,/Users/David/NatCo-Project/data/turing_test_data/computer_g10/11.png,/Users/David/NatCo-Project/data/turing_test_data/human_g10/8.png,1,0
g10,/Users/David/NatCo-Project/data/turing_test_data/human_g10/69.png,/Users/David/NatCo-Project/data/turing_test_data/computer_g10/4.png,0,1
g1,/Users/David/NatCo-Project/data/turing_test_data/computer_g1/47.png,/Users/David/NatCo-Project/data/turing_test_data/human_g10/10.png,1,1
g10,/Users/David/NatCo-Project/data/turing_test_data/computer_g10/3.png,/Users/David/NatCo-Project/data/turing_test_data/human_g10/14.png,1,1
g10,/Users/David/NatCo-Project/data/turing_test_data/human_g10/20.png,/Users/David/NatCo-Project/data/turing_test_data/computer_g10/84.png,0,0
g10,/Users/David/NatCo-Project/data/turing_test_data/human_g10/8.png,/Users/David/NatCo-Project/data/turing_test_data/computer_g10/64.png,0,1
g10,/Users/David/NatCo-Project/data/turing_test_data/computer_g10/6.png,/Users/David/NatCo-Project/data/turing_test_data/human_g10/80.png,1,0
g10,/Users/David/NatCo-Project/data/turing_test_data/computer_g10/64.png,/Users/David/NatCo-Project/data/turing_test_data/human_g10/2.png,1,0
g1,/Users/David/NatCo-Project/data/turing_test_data/human_g10/45.png,/Users/David/NatCo-Project/data/turing_test_data/computer_g1/13.png,0,1
g10,/Users/David/NatCo-Project/data/turing_test_data/human_g10/73.png,/Users/David/NatCo-Project/data/turing_test_data/computer_g10/10.png,0,0
g1,/Users/David/NatCo-Project/data/turing_test_data/computer_g1/41.png,/Users/David/NatCo-Project/data/turing_test_data/human_g10/35.png,1,0
g1,/Users/David/NatCo-Project/data/turing_test_data/human_g10/22.png,/Users/David/NatCo-Project/data/turing_test_data/computer_g1/31.png,0,0
g10,/Users/David/NatCo-Project/data/turing_test_data/computer_g10/41.png,/Users/David/NatCo-Project/data/turing_test_data/human_g10/44.png,1,1
g10,/Users/David/NatCo-Project/data/turing_test_data/computer_g10/30.png,/Users/David/NatCo-Project/data/turing_test_data/human_g10/86.png,1,0
g1,/Users/David/NatCo-Project/data/turing_test_data/human_g10/55.png,/Users/David/NatCo-Project/data/turing_test_data/computer_g1/42.png,0,1
